	Description	GoldsteinScale	cameoCode
01	 MAKE PUBLIC STATEMENT	0.0	01
010	 Make statement, not specified below	0.0	010
011	 Decline comment	-0.1	011
012	 Make pessimistic comment	-0.4	012
013	 Make optimistic comment	0.4	013
014	 Consider policy option	0.0	014
015	 Acknowledge or claim responsibility	0.0	015
016	 Make empathetic comment	3.4	016
017	 Engage in symbolic act	0.0	017
018	 Express accord	3.4	018
019	Express common understanding, agreement, or accord	3.4	019
02	 APPEAL	3.0	02
020	 Appeal, not specified below	3.0	020
021	 Appeal for cooperation, not specified below	3.4	021
0211	 Appeal for diplomatic cooperation	3.4	0211
0212	 Appeal for material cooperation	3.4	0212
0213	Appeal for judicial cooperation	3.4	0213
0214	Make an appeal for, request, or suggest sharing of intelligence.	3.4	0214
022	 Appeal for policy support	3.4	022
023	 Appeal for aid, not specified below	3.4	023
0231	 Appeal for economic aid	3.4	0231
0232	 Appeal for military aid	3.4	0232
0233	 Appeal for humanitarian aid	3.4	0233
0234	 Appeal for military protection or peacekeeping	3.4	0234
024	 Appeal for political reform, not specified below	-0.3	024
0241	 Appeal for change in leadership	-0.3	0241
0242	 Appeal for policy change	-0.3	0242
0243	 Appeal for rights	-0.3	0243
0244	 Appeal for change in institutions, regime	-0.3	0244
025	 Appeal to yield	-0.3	025
026	 Appeal to others to meet or negotiate	4.0	026
027	 Appeal to others to settle dispute	4.0	027
028	 Appeal to others to engage in mediation	4.0	028
03	 EXPRESS INTENT TO COOPERATE	4.0	03
030	 Express intent to cooperate, not specified below	4.0	030
031	 Express intent to engage in material cooperation,  not specified below	5.2	031
0311	 Express intent to cooperate economically	5.2	0311
0312	 Express intent to cooperate militarily	5.2	0312
032	 Express intent to provide policy support	4.5	032
033	 Express intent to provide aid, not specified below	5.2	033
0331	 Express intent to provide economic aid	5.2	0331
0332	 Express intent to provide military aid	5.2	0332
0333	 Express intent to provide humanitarian aid	5.2	0333
0334	 Express intent to provide military protection or peacekeeping	6.0	0334
034	 Express intent to bring political reform, not specified below	7.0	034
0341	 Express intent to change leadership	7.0	0341
0342	 Express intent to change policy	7.0	0342
0343	 Express intent to provide rights	7.0	0343
0344	 Express intent to change institutions, regime	7.0	0344
035	 Express intent to yield, not specified below	7.0	035
0351	 Express intent to ease administrative sanctions	7.0	0351
0352	 Express intent to stop protests	7.0	0352
0353	 Express intent to accede to political demands	7.0	0353
0354	 Express intent to release persons or property	7.0	0354
0355	 Express intent to ease economic sanctions, boycott, or embargo	7.0	0355
0356	 Express intent allow international involvement (not mediation)	7.0	0356
0357	 Express intent to de-escalate military engagement 	7.0	0357
036	 Express intent to meet or negotiate	4.0	036
037	 Express intent to settle dispute	5.0	037
038	 Express intent to accept mediation	7.0	038
039	 Express intent to mediate	5.0	039
04	 CONSULT	1.0	04
040	 Consult, not specified below	1.0	040
041	 Discuss by telephone	1.0	041
042	 Make a visit	1.9	042
043	 Host a visit	2.8	043
044	 Meet at a “third” location	2.5	044
045	 Mediate	5.0	045
046	 Engage in negotiation	7.0	046
05	 ENGAGE IN DIPLOMATIC COOPERATION	3.5	05
050	 Engage in diplomatic cooperation, not specified below	3.5	050
051	 Praise or endorse	3.4	051
052	 Defend verbally	3.5	052
053	 Rally support on behalf of	3.8	053
054	 Grant diplomatic recognition	6.0	054
055	 Apologize	7.0	055
056	 Forgive	7.0	056
057	 Sign formal agreement	8.0	057
06	 ENGAGE IN MATERIAL COOPERATION	6.0	06
060	 Engage in material cooperation, not spec below	6.0	060
061	 Cooperate economically	6.4	061
062	 Cooperate militarily	7.4	062
063	 Engage in judicial cooperation	7.4	063
064	 Share intelligence or information	7.0	064
07	 PROVIDE AID	7.0	07
070	 Provide aid, not specified below	7.0	070
071	 Provide economic aid	7.4	071
072	 Provide military aid	8.3	072
073	 Provide humanitarian aid	7.4	073
074	 Provide military protection or peacekeeping	8.5	074
075	 Grant asylum	7.0	075
08	 YIELD	5.0	08
080	 Yield, not specified below 	5.0	080
081	 Ease administrative sanctions, not specified below	5.0	081
0811	 Ease restrictions on freedoms of speech and expression 	5.0	0811
0812	 Ease ban on political parties or politicians	5.0	0812
0813	 Ease curfew	5.0	0813
0814	 Ease state of emergency or martial law	5.0	0814
082	 Ease popular protest 	5.0	082
083	 Accede to demands for political reform 	5.0	083
0831	 Accede to demands for change in leadership	5.0	0831
0832	 Accede to demands for change in policy	5.0	0832
0833	 Accede to demands for rights	5.0	0833
0834	 Accede to demands for change in institutions, regime	5.0	0834
084	 Return, release, not specified below	7.0	084
0841	 Return, release person(s)	7.0	0841
0842	 Return, release property	7.0	0842
085	 Ease economic sanctions, boycott, embargo	7.0	085
086	 Allow international involvement	9.0	086
0861	 Receive deployment of peacekeepers	9.0	0861
0862	 Receive inspectors	9.0	0862
0863	 Allow delivery of humanitarian aid	9.0	0863
087	 De-escalate military engagement	9.0	087
0871	 Declare truce, ceasefire	9.0	0871
0872	 Ease military blocka[-2.0	9.0	0872
0873	 Demobilize armed forces	9.0	0873
0874	 Retreat or surrender militarily	10.0	0874
09	 INVESTIGATE	-2.0	09
090	 Investigate, not specified below	-2.0	090
091	 Investigate crime, corruption	-2.0	091
092	 Investigate human rights abuses	-2.0	092
093	 Investigate military action	-2.0	093
094	 Investigate war crimes	-2.0	094
10	 DEMAND	-5.0	10
100	 Demand, not specified below	-5.0	100
101	 Demand information, investigation	-5.0	101
102	 Demand policy support	-5.0	102
103	 Demand aid, protection, or peacekeeping	-5.0	103
104	 Demand political reform, not specified below	-5.0	104
1041	 Demand change in leadership	-5.0	1041
1042	 Demand policy change	-5.0	1042
1043	 Demand rights	-5.0	1043
1044	 Demand change in institutions, regime	-5.0	1044
105	 Demand mediation	-5.0	105
1053	Demand release of persons or property	-5.0	1053
106	 Demand withdrawal	-5.0	106
107	 Demand ceasefire	-5.0	107
108	 Demand meeting, negotiation	-5.0	108
11	 DISAPPROVE	-2.0	11
110	 Disapprove, not specified below	-2.0	110
111	 Criticize or denounce 	-2.0	111
112	 Accuse, not specified below	-2.0	112
1121	 Accuse of crime, corruption	-2.0	1121
1122	 Accuse of human rights abuses	-2.0	1122
1123	 Accuse of aggression	-2.0	1123
1124	 Accuse of war crimes	-2.0	1124
1125	 Accuse of espionage, treason	-2.0	1125
113	 Rally opposition against	-2.0	113
114	 Complain officially 	-2.0	114
115	 Bring lawsuit against 	-2.0	115
12	 REJECT	-4.0	12
120	 Reject, not specified below	-4.0	120
121	 Reject proposal, not specified below	-4.0	121
1211	 Reject ceasefire, withdrawal	-4.0	1211
1212	 Reject peacekeeping	-4.0	1212
1213	 Reject settlement	-4.0	1213
122	 Reject request for material aid	-4.0	122
123	 Reject demands for political reform 	-4.0	123
1231	 Reject demands for change in leadership	-4.0	1231
1232	 Reject demands for policy change	-4.0	1232
1233	 Reject demand for rights	-4.0	1233
1234	 Reject demand change in institutions, regime	-4.0	1234
124	 Reject proposal to meet, discuss, or negotiate	-5.0	124
125	 Reject mediation	-5.0	125
126	 Defy norms, law	-5.0	126
127	 Reject accusation, deny responsibility	-5.0	127
128	 Veto 	-5.0	128
13	 THREATEN	-6.0	13
130	 Threaten, not specified below	-4.4	130
131	 Threaten non-force, not specified below	-5.8	131
1311	 Threaten to reduce or stop aid	-5.8	1311
1312	 Threaten to boycott, embargo, or sanction	-5.8	1312
1313	 Threaten to reduce or break relations	-5.8	1313
132	 Threaten with administrative sanctions, not specified below	-5.8	132
1321	 Threaten to impose restrictions on freedoms of speech and expression 	-5.8	1321
1322	 Threaten to ban political parties or politicians	-5.8	1322
1323	 Threaten to impose curfew	-5.8	1323
1324	 Threaten to impose state of emergency or martial law	-5.8	1324
133	 Threaten collective dissent	-5.8	133
134	 Threaten to halt negotiations	-5.8	134
135	 Threaten to halt mediation	-5.8	135
136	 Threaten to expel or withdraw peacekeepers	-7.0	136
137	 Threaten with violent repression	-7.0	137
138	 Threaten to use military force, not specified below	-7.0	138
1381	 Threaten blockade	-7.0	1381
1382	 Threaten occupation 	-7.0	1382
1383	 Threaten unconventional violence 	-7.0	1383
1384	 Threaten conventional attack  	-7.0	1384
1385	 Threaten attack with WMD	-7.0	1385
139	 Give ultimatum	-7.0	139
14	 PROTEST	-6.5	14
140	 Engage in popular protest, not specified below	-6.5	140
141	 Demonstrate or rally	-6.5	141
1411	 Demonstrate for change in leadership	-6.5	1411
1412	 Demonstrate for policy change	-6.5	1412
1413	 Demonstrate for rights	-6.5	1413
1414	 Demonstrate for change in institutions, regime	-6.5	1414
142	 Conduct hunger strike, not specified below	-6.5	142
1421	 Conduct hunger strike for change in leadership	-6.5	1421
1422	 Conduct hunger strike for policy change	-6.5	1422
1423	 Conduct hunger strike for rights	-6.5	1423
1424	 Conduct hunger strike for change in institutions, regime 	-6.5	1424
143	 Conduct strike or boycott, not specified below	-6.5	143
1431	 Conduct strike or boycott for change in leadership   	-6.5	1431
1432	 Conduct strike or boycott for policy change	-6.5	1432
1433	 Conduct strike or boycott for rights	-6.5	1433
1434	 Conduct strike or boycott for change in institutions, regime	-6.5	1434
144	 Obstruct passage, block	-7.5	144
1441	 Obstruct passage to demand change in  leadership   	-7.5	1441
1442	 Obstruct passage to demand policy change	-7.5	1442
1443	 Obstruct passage to demand rights	-7.5	1443
1444	 Obstruct passage to demand change in institutions, regime	-7.5	1444
145	 Protest violently, riot	-7.5	145
1451	 Obstruct passage to demand change in  leadership   	-7.5	1451
1452	 Obstruct passage to demand policy change	-7.5	1452
1453	 Obstruct passage to demand rights	-7.5	1453
1454	 Obstruct passage to demand change in institutions, regime	-7.5	1454
15	 EXHIBIT FORCE POSTURE	-7.2	15
150	 Demonstrate military or police power, not specified below	-7.2	150
151	 Increase police alert status	-7.2	151
152	 Increase military alert status	-7.2	152
153	 Mobilize or increase police power	-7.2	153
154	 Mobilize or increase armed forces 	-7.2	154
16	 REDUCE RELATIONS	-4.0	16
160	 Reduce relations, not specified below	-4.0	160
161	 Reduce or break diplomatic relations	-4.0	161
162	 Reduce or stop aid, not specified below	-5.6	162
1621	 Reduce or stop economic assistance	-5.6	1621
1622	 Reduce or stop military assistance	-5.6	1622
1623	 Reduce or stop humanitarian assistance	-5.6	1623
163	 Halt negotiations	-6.5	163
164	 Expel or withdraw, not specified below	-7.0	164
1641	 Expel or withdraw peacekeepers	-7.0	1641
1642	 Expel or withdraw inspectors, observers	-7.0	1642
1643	 Expel or withdraw aid agencies	-7.0	1643
165	 Halt mediation	-7.0	165
166	 Impose embargo, boycott, or sanctions	-8.0	166
17	 COERCE	-7.0	17
170	 Coerce, not specified below 	-7.0	170
171	 Seize or damage property, not specified below	-9.2	171
1711	 Confiscate property	-9.2	1711
1712	 Destroy property	-9.2	1712
172	 Impose administrative sanctions, not specified below	-5.0	172
1721	 Impose restrictions on freedoms of speech and expression 	-5.0	1721
1722	 Ban political parties or politicians	-5.0	1722
1723	 Impose curfew	-5.0	1723
1724	 Impose state of emergency or martial law	-5.0	1724
173	 Arrest, detain, or charge with legal action 	-5.0	173
174	 Expel or deport individuals	-5.0	174
175	 Use violent repression  	-9.0	175
18	 ASSAULT	-9.0	18
180	 Use unconventional violence, not specified below	-9.0	180
181	 Abduct, hijack, or take hostage 	-9.0	181
182	 Physically assault, not specified below	-9.5	182
1821	 Sexually assault	-9.0	1821
1822	 Torture	-9.0	1822
1823	 Kill by physical assault	-10.0	1823
183	 Conduct suicide, car, or other non-military bombing, not spec below	-10.0	183
1831	 Carry out suicide bombing	-10.0	1831
1832	 Carry out car bombing	-10.0	1832
1833	 Carry out roadside bombing 	-10.0	1833
184	 Use as human shield 	-8.0	184
185	 Attempt to assassinate	-8.0	185
186	 Assassinate 	-10.0	186
19	 FIGHT	-10.0	19
190	 Use conventional military force, not specified below	-10.0	190
191	 Impose blockade, restrict movement 	-9.5	191
192	 Occupy territory	-9.5	192
193	 Fight with small arms and light weapons	-10.0	193
194	 Fight with artillery and tanks	-10.0	194
195	 Employ aerial weapons	-10.0	195
196	 Violate ceasefire 	-9.5	196
20	 ENGAGE IN UNCONVENTIONAL MASS  VIOLENCE	-10.0	20
200	 Engage in unconventional mass violence, not specified below	-10.0	200
201	 Engage in mass expulsion	-9.5	201
202	 Engage in mass killings	-10.0	202
203	 Engage in ethnic cleansing	-10.0	203
204	 Use weapons of mass destruction, not specified below	-10.0	204
2041	 Use chemical, biological, or radiologicalweapons	-10.0	2041
2042	 Detonate nuclear weapons	-10.0	2042
